sample_output_rna	sample_output_ribo
ENST00000441940	247.808	45.0402
ENST00000445393	67.2105	0.657073
ENST00000361534	35.0979	1.74037
ENST00000429827	0	0
ENST00000420072	0	0
ENST00000440526	0	0
ENST00000414079	323.628	2.53602
ENST00000426935	0	0
ENST00000431177	0	0
ENST00000417979	641.366	55.7645
ENST00000413017	304.706	7.90341
ENST00000399353	983.164	118.976
ENST00000444491	26.1147	4.29284
ENST00000381318	24.6331	10.9711
ENST00000381291	176.388	24.1672
ENST00000399367	92.5741	41.3554
ENST00000399352	1119.91	154.108
ENST00000399355	29.7505	3.77
ENST00000399349	218.042	27.7586
ENST00000451686	0	0
ENST00000381283	0	0
ENST00000419241	17.2631	9.51686
ENST00000440794	0	0
ENST00000437126	9.5928	0
ENST00000381284	0	0
ENST00000420666	0	0
ENST00000415023	31.1083	12.0743
ENST00000381285	0	0
ENST00000437442	40.5896	14.8504
ENST00000399326	0	0
ENST00000379960	27.8743	4.1594
ENST00000399338	0	0
ENST00000431254	54.6623	24.0106
ENST00000290299	1617.1	919.522
ENST00000418933	355.077	318.362
ENST00000399312	92	146
ENST00000608209	30	386.5
ENST00000381151	30	386.5
ENST00000290310	1	0
ENST00000399299	12	12
ENST00000410005	15	0
ENST00000450895	1	0
ENST00000399289	0	0
ENST00000399286	0	0
ENST00000416357	0	0
ENST00000399284	0	0
ENST00000337385	0	0
ENST00000432085	0	0
ENST00000482533	229.444	15.9166
ENST00000481448	0	0
ENST00000381132	30.2911	2.36914
ENST00000487990	229.444	15.9166
ENST00000399272	434.016	42.3342
ENST00000313806	64.3596	32.5468
ENST00000492600	0	0
ENST00000381135	0	0
ENST00000443408	229.444	15.9166
ENST00000360731	0	0
ENST00000349499	4	28
ENST00000344691	0	0
ENST00000300305	0	0
ENST00000399240	0	0
ENST00000358356	0	0
ENST00000399237	0	0
ENST00000455571	1	0
ENST00000437180	0	0
ENST00000325074	0	0
ENST00000486278	0	0
ENST00000599809	318	0
ENST00000399215	0	0
ENST00000399212	170.459	68.135
ENST00000332131	0	0
ENST00000399205	49.6253	7.10448
ENST00000399208	0	0
ENST00000399201	49.6253	7.10448
ENST00000399207	0	0
ENST00000424303	0	0
ENST00000429161	23.1836	0.671754
ENST00000446166	111.045	1.77708
ENST00000442559	0	0
ENST00000443703	72.0624	3.20721
ENST00000530908	274.202	166.634
ENST00000290349	1000.06	665.471
ENST00000439427	36.3857	21.1268
ENST00000399191	55.6046	23.1909
ENST00000290354	76.7435	137.577
ENST00000270190	0	0
ENST00000399151	268	583
ENST00000400485	176.272	337.211
ENST00000546482	109.576	26.9297
ENST00000549948	109.576	26.9297
ENST00000551788	109.576	26.9297
ENST00000552581	0	0
ENST00000314103	86	151
ENST00000399139	0	0
ENST00000399137	0	0
ENST00000399135	0	0
ENST00000399136	0	0
ENST00000342108	0	0
ENST00000595927	6	0
ENST00000290399	0	0
ENST00000431229	0	0
ENST00000483178	0	0
ENST00000430056	0	0
ENST00000336648	53.0201	104.624
ENST00000399120	53.0201	104.624
ENST00000448340	0	0
ENST00000419461	0	0
ENST00000427746	50.9598	15.7512
ENST00000329553	0	0
ENST00000360525	19.8714	0
ENST00000464265	46.8269	0
ENST00000399102	19.8714	0
ENST00000399103	19.8714	0
ENST00000399098	127.559	0
ENST00000418766	0	0
ENST00000450533	0	0
ENST00000438055	0	0
ENST00000540756	356.264	15.0256
ENST00000399010	0	0
ENST00000399017	3782.28	344.846
ENST00000354749	3782.29	344.846
ENST00000414818	1047.97	40.5102
ENST00000411496	703.68	69.8151
ENST00000428693	1266.21	173.109
ENST00000355666	3782.31	344.848
ENST00000309117	145.639	30.1583
ENST00000399001	106.361	1.84167
ENST00000476950	0	0
ENST00000398998	0	0
ENST00000539844	0	0
ENST00000288304	0	0
ENST00000338785	0	0
ENST00000426672	84.7793	22.7693
ENST00000339659	836.991	117.175
ENST00000398960	0	0
ENST00000398956	75.6717	10.4166
ENST00000321219	0	0
ENST00000451934	0	0
ENST00000455387	624.558	83.6394
ENST00000597817	0	0
ENST00000609713	11	191.5
ENST00000288309	11	191.5
ENST00000398948	0	0
ENST00000328264	0	0
ENST00000482032	0	0
ENST00000400477	0	0
ENST00000357704	0	0
ENST00000398928	0	0
ENST00000328656	1	0
ENST00000398938	1	0
ENST00000398932	1	0
ENST00000438657	0	0
ENST00000398930	1	0
ENST00000398927	0	0
ENST00000419868	0	0
ENST00000398934	1	0
ENST00000398905	107.752	1.24354
ENST00000398907	8.91662	0.10264
ENST00000288319	78.2496	0.850602
ENST00000398897	72.6555	1.09807
ENST00000398911	1.17188e-08	1.32854e-10
ENST00000417133	3.1904e-08	3.41032e-10
ENST00000398910	0	0
ENST00000453032	50.4254	0.705153
ENST00000398919	3.1904e-08	3.41032e-10
ENST00000442448	1.17188e-08	1.32854e-10
ENST00000429727	0.00103356	0
ENST00000360214	464.441	761.145
ENST00000360938	464.441	761.145
ENST00000432278	204.276	351.997
ENST00000456966	91.8411	120.714
ENST00000331573	242.273	88.0333
ENST00000380900	70.7266	20.9667
ENST00000333229	225.6	56.8169
ENST00000446924	0	0
ENST00000342449	223.075	57.4817
ENST00000380800	0.000609563	0.000162226
ENST00000424441	23.3151	0
ENST00000445668	7.27477	0
ENST00000430093	52.0027	0
ENST00000445245	0	0
ENST00000455867	10.7098	0
ENST00000412604	0	0
ENST00000341322	331.022	245.701
ENST00000380749	426.327	95.8778
ENST00000380748	0	0
ENST00000380747	0	0
ENST00000361263	298.673	9.12225
ENST00000333781	294.597	48.468
ENST00000398753	123.542	29.5553
ENST00000380713	772.336	98.3346
ENST00000380708	123.542	29.5553
ENST00000415847	2.98345	0.0868128
ENST00000541890	0	0
