sample_output_rna	sample_output_ribo
ENST00000360731	0	0
ENST00000349499	6.67012	149.403158
ENST00000344691	0	0
ENST00000300305	0	0
ENST00000399240	0	0
ENST00000358356	0	0
ENST00000399237	0	0
ENST00000455571	14.0843	0.000000
ENST00000437180	0	0
ENST00000325074	0	0
ENST00000486278	0	0
ENST00000599809	5558.9	0.000000
ENST00000399215	0	0
ENST00000399212	503.401	643.862341
ENST00000332131	0	0
ENST00000399205	236.3	108.248273
ENST00000399208	0	0
ENST00000399201	236.3	108.248273
ENST00000399207	0	0
ENST00000424303	0	0
ENST00000429161	150.93	13.993748
ENST00000446166	1971.68	100.965926
ENST00000442559	0	0
ENST00000443703	3558.41	506.761892
ENST00000530908	2645.48	5144.317320
ENST00000290349	4897.28	10427.599555
ENST00000439427	335.408	623.167487
ENST00000399191	368.178	491.353058
ENST00000290354	375.81	2155.763157
ENST00000270190	0	0
ENST00000399151	124.166	864.298782
ENST00000400485	208.772	1277.966542
ENST00000546482	905.204	711.855507
ENST00000549948	905.204	711.855507
ENST00000551788	905.205	711.855507
ENST00000552581	0	0
ENST00000314103	180.336	1013.186021
ENST00000399139	0	0
ENST00000399137	0	0
ENST00000399135	0	0
ENST00000399136	0	0
ENST00000342108	0	0
ENST00000595927	40.7724	0.000000
ENST00000290399	0	0
ENST00000431229	0	0
ENST00000483178	0	0
ENST00000430056	0	0
ENST00000336648	83.0558	524.431636
ENST00000399120	83.0558	524.431636
ENST00000448340	0	0
ENST00000419461	0	0
ENST00000427746	2095.17	2072.217780
ENST00000329553	0	0
ENST00000360525	299.644	0.000000
ENST00000464265	525.161	0.000000
ENST00000399102	299.644	0.000000
ENST00000399103	299.644	0.000000
ENST00000399098	2909.23	0.000000
ENST00000418766	0	0
ENST00000450533	0	0
ENST00000438055	0	0
ENST00000540756	674.569	91.036297
ENST00000399010	0	0
ENST00000399017	1996.53	582.472118
ENST00000354749	1996.53	582.472118
ENST00000414818	5148.11	636.784842
ENST00000411496	3147.79	999.329487
ENST00000428693	5213.18	2280.581173
ENST00000355666	1996.54	582.475497
ENST00000309117	651.489	431.684241
ENST00000399001	1035.83	57.391000
ENST00000476950	0	0
ENST00000398998	0	0
ENST00000539844	0	0
ENST00000288304	0	0
ENST00000338785	0	0
ENST00000426672	1340.7	1152.180633
ENST00000339659	1257.8	563.447049
ENST00000398960	0	0
ENST00000398956	168.956	74.420626
ENST00000321219	0	0
ENST00000451934	0	0
ENST00000455387	1376.65	589.913949
ENST00000597817	0	0
ENST00000609713	31.8487	1774.173102
ENST00000288309	31.8487	1774.173102
ENST00000398948	0	0
ENST00000328264	0	0
ENST00000482032	0	0
ENST00000400477	0	0
ENST00000357704	0	0
ENST00000398928	0	0
ENST00000328656	3.34483	0.000000
ENST00000398938	3.34483	0.000000
ENST00000398932	3.34483	0.000000
ENST00000438657	0	0
ENST00000398930	3.34483	0.000000
ENST00000398927	0	0
ENST00000419868	0	0
ENST00000398934	3.34483	0.000000
ENST00000398905	286.327	10.573642
ENST00000398907	23.6332	0.870496
ENST00000288319	195.853	6.812446
ENST00000398897	252.833	12.227109
ENST00000398911	3.059e-08	0.000000
ENST00000417133	7.85233e-08	0.000000
ENST00000398910	0	0
ENST00000453032	162.363	7.265227
ENST00000398919	7.85233e-08	0.000000
ENST00000442448	3.059e-08	0.000000
ENST00000429727	0.0101612	0.000000
ENST00000360214	1191.3	6247.181891
ENST00000360938	1191.3	6247.181891
ENST00000432278	2080.77	11472.919114
ENST00000456966	466.684	1962.782025
ENST00000331573	1127.67	1311.145630
ENST00000380900	363.56	344.867567
ENST00000333229	103.501	83.409116
ENST00000446924	0	0
ENST00000342449	104.712	86.338432
ENST00000380800	0.00029552	0.000252
ENST00000424441	62.4899	0.000000
ENST00000445668	21.9222	0.000000
ENST00000430093	268.648	0.000000
ENST00000445245	0	0
ENST00000455867	22.9859	0.000000
ENST00000412604	0	0
ENST00000341322	6164.58	14641.389450
ENST00000380749	11224.7	8077.496356
ENST00000380748	0	0
ENST00000380747	0	0
ENST00000361263	3022.47	295.391103
ENST00000333781	2816	1482.476413
ENST00000398753	1717.17	1314.509250
ENST00000380713	15529.2	6326.736464
ENST00000380708	1717.17	1314.509250
ENST00000415847	111.791	10.408762
ENST00000541890	0	0
ENST00000288350	9.862	0.000000
ENST00000358268	9.862	0.000000
ENST00000485895	27.6064	0.000000
ENST00000418018	0	0
ENST00000448288	0	0
ENST00000434281	0	0
ENST00000438404	0	0
ENST00000411566	0	0
ENST00000415863	977.733	0.000000
ENST00000380671	9.862	0.000000
ENST00000380637	0	0
ENST00000380634	0	0
ENST00000458295	0	0
ENST00000440288	3409.88	520.409271
ENST00000380631	0	0
ENST00000333634	30.6159	1.159988
ENST00000452550	990.29	82.775184
ENST00000423596	2198.08	46.740082
ENST00000380620	4.23518	0.000000
ENST00000380618	4.23518	0.000000
ENST00000343118	4.23518	0.000000
ENST00000398714	4.23518	0.000000
ENST00000380612	0	0
ENST00000329618	96.8212	0.000000
ENST00000380588	3.03112	0.000000
ENST00000400454	54.4307	34.572771
ENST00000404019	114.221	84.035790
ENST00000330333	144.776	188.097320
ENST00000328735	0.0357451	0.063601
ENST00000347667	91.7635	134.043465
ENST00000357985	0	0
ENST00000398652	0	0
ENST00000398647	204.807	0.000000
ENST00000398646	0	0
ENST00000330714	68.7932	112.144341
ENST00000436410	0	0
ENST00000435611	104.22	0.000000
ENST00000418103	0	0
ENST00000543692	0	0
