sample_output_rna	sample_output_ribo
ENST00000398948	0.000000	0.000000
ENST00000328264	0.000000	0.000000
ENST00000482032	0.000000	0.000000
ENST00000400477	0.000000	0.000000
ENST00000357704	0.000000	0.000000
ENST00000398928:ENST00000398927	0.000000	0.000000
ENST00000328656:ENST00000398938:ENST00000398932:ENST00000398930:ENST00000398934	16.724150	0.000000
ENST00000438657	0.000000	0.000000
ENST00000419868	0.000000	0.000000
ENST00000398905	286.327000	10.573642
ENST00000398907	23.633200	0.870496
ENST00000288319	195.853000	6.812446
ENST00000398897	252.833000	12.227109
ENST00000398911:ENST00000442448	0.000000	0.000000
ENST00000417133:ENST00000398919	0.000000	0.000000
ENST00000398910	0.000000	0.000000
ENST00000453032	162.363000	7.265227
ENST00000429727	0.010161	0.000000
ENST00000360214:ENST00000360938	2382.600000	12494.363782
ENST00000432278	2080.770000	11472.919114
ENST00000456966	466.684000	1962.782025
ENST00000331573	1127.670000	1311.145630
ENST00000380900	363.560000	344.867567
ENST00000333229	103.501000	83.409116
ENST00000446924	0.000000	0.000000
ENST00000342449	104.712000	86.338432
ENST00000380800	0.000296	0.000252
ENST00000424441	62.489900	0.000000
ENST00000445668	21.922200	0.000000
ENST00000430093	268.648000	0.000000
ENST00000445245	0.000000	0.000000
ENST00000455867	22.985900	0.000000
ENST00000412604	0.000000	0.000000
ENST00000341322	6164.580000	14641.389450
ENST00000380749	11224.700000	8077.496356
ENST00000380748	0.000000	0.000000
ENST00000380747	0.000000	0.000000
ENST00000361263	3022.470000	295.391103
ENST00000333781	2816.000000	1482.476413
ENST00000398753:ENST00000380708	3434.340000	2629.018500
ENST00000380713	15529.200000	6326.736464
ENST00000415847	111.791000	10.408762
ENST00000541890	0.000000	0.000000
ENST00000288350:ENST00000358268:ENST00000380671	29.586000	0.000000
ENST00000485895	27.606400	0.000000
ENST00000418018	0.000000	0.000000
ENST00000448288	0.000000	0.000000
ENST00000434281	0.000000	0.000000
ENST00000438404	0.000000	0.000000
ENST00000411566	0.000000	0.000000
ENST00000415863	977.733000	0.000000
ENST00000380637:ENST00000380634:ENST00000380631	0.000000	0.000000
ENST00000458295	0.000000	0.000000
ENST00000440288	3409.880000	520.409271
ENST00000333634	30.615900	1.159988
ENST00000452550	990.290000	82.775184
ENST00000423596	2198.080000	46.740082
ENST00000380620:ENST00000380618:ENST00000343118:ENST00000398714	16.940720	0.000000
ENST00000380612	0.000000	0.000000
ENST00000329618	96.821200	0.000000
ENST00000380588	3.031120	0.000000
ENST00000400454	54.430700	34.572771
ENST00000404019	114.221000	84.035790
ENST00000330333	144.776000	188.097320
ENST00000328735	0.035745	0.063601
ENST00000347667	91.763500	134.043465
ENST00000357985	0.000000	0.000000
ENST00000398652	0.000000	0.000000
ENST00000398647	204.807000	0.000000
ENST00000398646	0.000000	0.000000
ENST00000330714	68.793200	112.144341
ENST00000436410	0.000000	0.000000
ENST00000435611	104.220000	0.000000
ENST00000418103	0.000000	0.000000
ENST00000543692	0.000000	0.000000
ENST00000398600:ENST00000398598:ENST00000455164	1854.234000	1532.749893
ENST00000413778	0.000000	0.000000
ENST00000424365	730.249000	873.419861
ENST00000417963	0.000001	0.000001
ENST00000441677	176.024000	306.464559
ENST00000288383	1.076560	0.807778
ENST00000332149:ENST00000458356	0.000000	0.000000
ENST00000454499	0.000000	0.000000
ENST00000424093	0.000000	0.000000
ENST00000455813	0.000000	0.000000
ENST00000398585	0.000000	0.000000
ENST00000332512	0.000000	0.000000
ENST00000352483	0.000000	0.000000
ENST00000544709:ENST00000542057	12.627600	0.000000
ENST00000447016:ENST00000447207	172.964400	207.287794
ENST00000422911	0.000000	0.000000
ENST00000441787	0.000000	0.000000
ENST00000449395	0.000000	0.000000
ENST00000398548	83.852700	97.149376
ENST00000433067:ENST00000269844	0.000000	0.000000
ENST00000538201	0.000000	0.000000
ENST00000449165	449.179000	783.983346
ENST00000329623	58.209700	493.902711
ENST00000380486	80.065800	627.781061
ENST00000398505	180.409000	220.125948
ENST00000310826:ENST00000398499:ENST00000398511	108.048900	227.760243
ENST00000425521	233.816000	0.000000
ENST00000400427	0.000000	0.000000
ENST00000400424	7.430200	0.000000
ENST00000408989	0.000000	0.000000
ENST00000408910	0.000000	0.000000
ENST00000491559	0.000000	0.000000
ENST00000468982	0.000000	0.000000
ENST00000497243	0.000000	0.000000
ENST00000400421	0.000000	0.000000
ENST00000466434	0.000000	0.000000
ENST00000485357	0.000000	0.000000
ENST00000329015	70.097900	550.368231
ENST00000398457	0.023145	0.048144
ENST00000347800	1067.500000	2239.062858
ENST00000450121	0.000000	0.000000
ENST00000398449	1.680200	3.582852
ENST00000361802	484.130000	958.275129
ENST00000343687	0.000000	0.000000
ENST00000398437	0.000000	0.000000
ENST00000340588	0.000000	0.000000
ENST00000518498	0.000000	0.000000
ENST00000398431	0.000000	0.000000
ENST00000291525	0.000000	0.000000
ENST00000291526	0.000000	0.000000
ENST00000291527	0.000000	0.000000
ENST00000398405	0.000000	0.000000
ENST00000433957	58.843700	144.486684
ENST00000291532	2.123000	5.199447
ENST00000398397	38.606700	0.000000
ENST00000380399	60.860100	122.537186
ENST00000291535	3.712150	0.000000
ENST00000319294	0.000000	0.000000
ENST00000398367	0.000000	0.000000
ENST00000450356	0.000000	0.000000
ENST00000291536	190.507000	0.000000
ENST00000398352	424.391000	0.000000
ENST00000398341:ENST00000352133	185.945000	169.998154
ENST00000335512	530.881000	70.843189
ENST00000291539	68.945600	8.153331
ENST00000380328	0.000000	0.000000
ENST00000398232	0.000000	0.000000
ENST00000398234	0.000000	0.000000
ENST00000398236	0.000000	0.000000
ENST00000328862	0.000000	0.000000
ENST00000335440	0.000000	0.000000
ENST00000398225	0.000000	0.000000
ENST00000398229	0.000000	0.000000
ENST00000398227	2160.330000	366.797021
ENST00000349112	0.000000	0.000000
ENST00000398224	0.000000	0.000000
ENST00000539837	0.000000	0.000000
ENST00000330317:ENST00000398208	101.569600	1156.637732
ENST00000354250	178.785000	501.035873
ENST00000340344	6057.690000	16445.713991
ENST00000291547	300.532000	318.941361
ENST00000432907	156.947000	147.971464
ENST00000398158:ENST00000398165:ENST00000359624:ENST00000352178	0.006920	0.003448
ENST00000451248	1723.260000	456.010215
ENST00000458223	0.000000	0.000000
ENST00000430013	0.000000	0.000000
ENST00000441030	3947.250000	2850.437818
ENST00000398168	0.000000	0.000000
ENST00000544202	4133.920000	2087.989584
ENST00000459639:ENST00000398137	4899.380000	5179.114170
ENST00000464750	5322.580000	4989.617230
ENST00000380276	245.040000	183.049972
ENST00000291552	1723.110000	1287.199451
ENST00000433840	0.000000	0.000000
ENST00000291554	0.000000	0.000000
ENST00000398133	0.000000	0.000000
ENST00000398132	0.000000	0.000000
ENST00000270162	76.425800	992.043552
ENST00000291560	27.578200	0.000000
ENST00000443485	0.000000	0.000000
ENST00000542962	36.660500	0.000000
ENST00000340648	131.479000	855.764397
ENST00000398081	0.000000	0.000000
ENST00000468090	320.878000	998.863507
ENST00000291565	1407.650000	4042.867311
ENST00000327574	64.659900	159.530880
ENST00000467908	4885.630000	6137.434147
ENST00000291568	7128.220000	27178.771133
ENST00000497547	601.895000	1490.529445
ENST00000291572:ENST00000398061:ENST00000327505:ENST00000398063:ENST00000398058:ENST00000546158	5267.515000	2732.763833
ENST00000448287	5973.620000	3556.211244
ENST00000445582	1831.030000	1015.724896
ENST00000457068:ENST00000422850	3859.000000	1850.517948
ENST00000380221	0.000000	0.000000
ENST00000291574	333.977000	1406.100273
ENST00000422875	413.667000	864.061524
ENST00000291576	393.460000	2986.615873
ENST00000456705	348.596000	883.136867
ENST00000291577	3919.560000	6216.938014
ENST00000427803	110.447000	210.061436
ENST00000348499	839.976000	1440.907026
ENST00000389690	128.110000	134.367917
ENST00000449622	36.488000	36.782127
ENST00000419699	3677.560000	2391.459355
ENST00000598764	7.377070	0.000000
ENST00000344330	0.000000	0.000000
ENST00000407780	394.043000	1044.344995
ENST00000400379	30.239300	46.487323
ENST00000400377	964.008000	2602.695305
ENST00000436357	0.000000	0.000000
ENST00000270172	0.000000	0.000000
ENST00000431166	0.000000	0.000000
ENST00000418993	0.000000	0.000000
ENST00000291582	15.629300	129.018332
ENST00000355347	28.378500	125.439589
